,土地區段位置/建物區段門牌
9585,臺北市信義區吳興街284巷1~30號
9588,臺北市內湖區民權東路六段180巷77弄1~30號
9592,臺北市中山區龍江路301~330號
9594,臺北市內湖區新豐街61~90號
9595,臺北市中山區朱崙街31~60號
9597,臺北市文山區木新路三段95巷31~60號
9599,臺北市文山區木新路三段95巷31~60號
9605,臺北市萬華區富民路145巷35弄1~30號
9606,臺北市大同區延平北路一段31~60號
9607,臺北市大同區延平北路一段31~60號
9608,臺北市大同區延平北路一段31~60號
9610,臺北市大同區延平北路二段121~150號
9612,臺北市大同區重慶北路二段31~60號
9620,臺北市內湖區民權東路六段180巷42弄31~60號
9624,臺北市中山區新生北路二段72巷1~30號
9626,臺北市內湖區東湖路113巷70弄1~30號
9628,臺北市內湖區江南街71巷93弄1~30號
9632,臺北市中山區大直街94巷1弄1~30號
9633,臺北市萬華區峨眉街61~90號
9639,臺北市松山區興安街151~180號
9642,臺北市南港區富康街53巷1~30號
9643,臺北市信義區松山路121~150號
9648,臺北市北投區知行路241~270號
9649,臺北市北投區行義路1~30號
9650,臺北市士林區福德路31巷1~30號
9652,臺北市北投區珠海路1~30號
9653,臺北市士林區天玉街103巷1~30號
9664,臺北市中正區廈門街25巷1~30號
9673,臺北市松山區民生東路三段113巷6弄1~30號
9677,臺北市松山區民生東路五段181~210號
9678,臺北市北投區榮華一路5巷1~30號
9680,臺北市大安區光復南路260巷1~30號
9681,臺北市大安區仁愛路四段151巷31~60號
9684,臺北市中山區中山北路三段31~60號
9685,臺北市內湖區文湖街21巷82弄1~30號
9686,臺北市內湖區大湖山莊街121~150號
9687,臺北市內湖區東湖路113巷61~90號
9688,臺北市內湖區內湖路一段629巷101弄1~30號
9691,臺北市大安區忠孝東路三段217巷5弄1~30號
9692,臺北市大安區光復南路631~660號
9693,臺北市大安區光復南路601~630號
9695,臺北市文山區汀州路四段181~210號
9696,臺北市萬華區內江街121~150號
9697,臺北市萬華區東園街151~180號
9699,臺北市士林區中正路601~630號
9700,臺北市北投區台北市北投區石牌路二段315巷31~60號
9706,臺北市士林區福港街1~30號
9707,臺北市士林區天母西路91~120號
9711,臺北市信義區松山路601~630號
9712,臺北市南港區經貿二路157巷31~60號
9714,臺北市信義區信義路五段150巷301~330號
9715,臺北市松山區寶清街105巷1~30號
9719,臺北市信義區林口街52巷1~30號
9720,臺北市松山區三民路35巷1~30號
9721,臺北市內湖區內湖路三段329巷1~30號
9723,臺北市中山區樂群二路266巷61~90號
9724,臺北市中山區天祥路61~90號
9733,臺北市中山區建國北路三段113巷31弄1~30號
9734,臺北市文山區興德路20巷1~30號
9742,臺北市大同區重慶北路二段61~90號
9744,臺北市萬華區長泰街246巷1~30號
9747,臺北市文山區羅斯福路五段121~150號
9748,臺北市文山區木新路三段232巷1~30號
9749,臺北市文山區興隆路四段58巷16弄1~30號
9750,臺北市文山區試院路144巷4弄1~30號
9752,臺北市中正區中華路二段315巷1~30號
9758,臺北市中山區新生北路三段56巷1~30號
9761,臺北市中山區朱崙街61~90號
9763,臺北市內湖區東湖路43巷1~30號
9764,臺北市中山區長安東路一段1~30號
9766,臺北市內湖區文湖街21巷118弄31~60號
9768,臺北市南港區重陽路125巷36弄1~30號
9773,臺北市士林區福林路100巷77弄1~30號
9774,臺北市北投區東華街一段361~390號
9777,臺北市北投區東華街一段361~390號
9780,臺北市文山區興隆路四段121~150號
9783,臺北市文山區景華街128巷2弄1~30號
9784,臺北市大安區辛亥路二段31~60號
9789,臺北市內湖區成功路五段450巷1~30號
9791,臺北市中山區農安街31~60號
9805,臺北市士林區福港街160巷1~30號
9806,臺北市士林區中山北路七段14巷1~30號
9811,臺北市松山區民生東路三段130巷5弄1~30號
9815,臺北市內湖區民權東路六段280巷1~30號
9816,臺北市大安區復興南路二段125巷31~60號
9820,臺北市中正區寧波西街1~30號
9821,臺北市北投區奇岩路1~30號
9822,臺北市士林區承德路四段40巷31~60號
9829,臺北市北投區東華街二段1~30號
9837,臺北市中山區林森北路121~150號
9842,臺北市中山區長安東路一段91~120號
9853,臺北市中正區重慶南路三段16巷1~30號
9855,臺北市萬華區康定路61~90號
9856,臺北市萬華區成都路151~180號
9859,臺北市大同區敦煌路80巷1~30號
9866,臺北市文山區景興路177巷1~30號
9867,臺北市中正區水源路61~90號
9869,臺北市大同區哈密街59巷73弄1~30號
9870,臺北市中山區中山北路二段59巷31~60號
9873,臺北市中山區撫順街41巷1~30號
9874,臺北市中山區天祥路61~90號
9875,臺北市中山區新生北路三段84巷1~30號
9884,臺北市內湖區內湖路一段411巷90弄1~30號
9885,臺北市內湖區民權東路六段190巷21弄31~60號
9889,臺北市信義區中坡南路215巷1~30號
9895,臺北市松山區八德路四段661~690號
9896,臺北市信義區吳興街583巷91~120號
9903,臺北市北投區關渡路31~60號
9904,臺北市北投區中山路1~30號
9905,臺北市士林區士東路2巷1~30號
9909,臺北市中正區杭州北路1~30號
9911,臺北市大安區臥龍街209巷1~30號
9912,臺北市中山區中山北路二段137巷1~30號
9915,臺北市松山區民生東路五段181~210號
9917,臺北市信義區福德街268巷4弄1~30號
9918,臺北市松山區八德路四段91巷3弄1~30號
9919,臺北市信義區松智路29巷1~30號
9923,臺北市北投區大同街181~210號
9924,臺北市士林區菁山路31~60號
9925,臺北市北投區復興四路12巷1~30號
9926,臺北市南港區東新街118巷31~60號
9928,臺北市中山區八德路二段91~120號
9931,臺北市中正區和平西路二段61~90號
9934,臺北市北投區石牌路二段315巷34弄1~30號
9936,臺北市北投區中山路1~30號
9940,臺北市北投區稻香路161巷1~30號
9944,臺北市信義區信義路六段61~90號
9949,臺北市松山區民生東路五段69巷4弄1~30號
9961,臺北市大同區昌吉街81巷25弄1~30號
9963,臺北市文山區木柵路四段121~150號
9964,臺北市文山區興隆路四段145巷83弄1~30號
9965,臺北市文山區興隆路二段61~90號
9973,臺北市中正區青島東路1~30號
9982,臺北市萬華區桂林路31~60號
9983,臺北市萬華區環河南路一段61~90號
9984,臺北市萬華區康定路25巷1~30號
9986,臺北市萬華區環河南路一段91~120號
9989,臺北市中正區詔安街50巷1弄1~30號
9993,臺北市文山區福興路91~120號
9997,臺北市大同區南京西路301~330號
9999,臺北市內湖區內湖路三段343巷2弄1~30號
10001,臺北市中山區新生北路二段61~90號
10004,臺北市中山區明水路691~720號
10007,臺北市信義區中坡南路215巷1~30號
10024,臺北市松山區長安東路二段211~240號
10038,臺北市文山區木柵路四段151~180號
10039,臺北市萬華區西園路一段31~60號
10041,臺北市大安區仁愛路四段361~390號
10044,臺北市大安區建國南路二段322巷1~30號
10047,臺北市大安區光復南路691~720號
10050,臺北市內湖區康寧路一段151~180號
10051,臺北市松山區敦化北路4巷31~60號
10054,臺北市士林區格致路20巷1~30號
10057,臺北市北投區中和街525巷6弄1~30號
10062,臺北市大安區光復南路451~480號
10063,臺北市大安區光復南路661~690號
10070,臺北市中正區廈門街113巷1~30號
10071,臺北市士林區中山北路七段14巷61弄1~30號
10073,臺北市北投區溫泉路68巷6弄1~30號
10074,臺北市北投區溫泉路68巷6弄1~30號
10076,臺北市北投區溫泉路68巷6弄1~30號
10077,臺北市北投區溫泉路68巷6弄1~30號
10079,臺北市松山區三民路43巷1~30號
10088,臺北市信義區林口街66巷1~30號
10092,臺北市中山區新生北路二段61~90號
10093,臺北市內湖區港墘路37巷1~30號
10094,臺北市內湖區成功路二段361~390號
10095,臺北市萬華區萬大路423巷91~120號
10096,臺北市大同區南京西路331~360號
10097,臺北市大同區南京西路331~360號
10099,臺北市萬華區成都路121~150號
10102,臺北市中正區南昌路二段1~30號
10105,臺北市中正區廈門街99巷31~60號
10106,臺北市大同區長安西路61~90號
10111,臺北市內湖區文德路208巷1~30號
10112,臺北市內湖區金湖路61~90號
10116,臺北市南港區興中路28巷1~30號
10118,臺北市松山區撫遠街400巷1~30號
10121,臺北市中山區明水路557巷1~30號
10122,臺北市內湖區民權東路六段47巷1~30號
10123,臺北市松山區南京東路三段335巷1~30號
10124,臺北市信義區吳興街583巷121~150號
10125,臺北市信義區吳興街583巷121~150號
10126,臺北市南港區忠孝東路六段121~150號
10135,臺北市中山區民權東路一段31~60號
10136,臺北市中山區民生東路一段61~90號
10137,臺北市中山區錦州街31~60號
10142,臺北市士林區通河街91~120號
10144,臺北市大安區復興南路二段301~330號
10145,臺北市南港區經貿二路157巷36弄91~120號
10146,臺北市內湖區內湖路二段263巷9弄1~30號
10147,臺北市內湖區新豐街151~180號
10151,臺北市大安區青田街1~30號
10161,臺北市萬華區開封街二段61~90號
10162,臺北市文山區興隆路二段203巷31~60號
10163,臺北市文山區久康街24巷1~30號
10164,臺北市士林區克強路10巷10弄1~30號
10170,臺北市松山區民生東路五段181~210號
10171,臺北市松山區光復南路46巷1~30號
10173,臺北市內湖區康寧路一段151~180號
10175,臺北市內湖區成功路四段223巷15弄1~30號
10181,臺北市中山區雙城街23巷1~30號
10183,臺北市內湖區民權東路六段248巷1~30號
10194,臺北市文山區福興路78巷20弄1~30號
10195,臺北市萬華區和平西路三段361~390號
10204,臺北市文山區萬盛街60巷1~30號
10208,臺北市萬華區德昌街185巷57弄1~30號
10211,臺北市信義區忠孝東路五段790巷47弄1~30號
10213,臺北市松山區塔悠路181~210號
10214,臺北市中山區建國北路三段61~90號
10226,臺北市北投區知行路235巷1~30號
10228,臺北市北投區文化三路61~90號
10230,臺北市中正區羅斯福路二段181~210號
10232,臺北市大安區信義路三段134巷61~90號
10235,臺北市內湖區文德路22巷74弄1~30號
10237,臺北市內湖區星雲街121~150號
10238,臺北市內湖區安泰街114巷1~30號
10242,臺北市大安區羅斯福路二段91~120號
10246,臺北市內湖區港墘路1~30號
10247,臺北市中山區安東街1~30號
10249,臺北市大安區安和路二段61~90號
10250,臺北市北投區行義路1~30號
10251,臺北市文山區興順街91~120號
10273,臺北市松山區民生東路五段181~210號
10282,臺北市文山區興隆路三段116巷3弄1~30號
10284,臺北市文山區溪洲街1~30號
10287,臺北市大同區環河北路一段241~270號
10290,臺北市萬華區昆明街151~180號
10294,臺北市文山區政大一街211~240號
10299,臺北市文山區興隆路二段244巷37弄1~30號
10302,臺北市中山區撫順街41巷1~30號
10303,臺北市大同區延平北路四段91~120號
10304,臺北市大同區延平北路四段91~120號
10327,臺北市內湖區成功路二段317巷1~30號
10330,臺北市內湖區內湖路二段103巷119弄1~30號
10331,臺北市中山區林森北路631~660號
10332,臺北市中山區中山北路三段1~30號
10333,臺北市士林區天母西路1~30號
10337,臺北市士林區忠誠路一段171巷12弄1~30號
10339,臺北市北投區富貴一路1~30號
10340,臺北市信義區松仁路308巷91~120號
10341,臺北市信義區和平東路三段391巷20弄1~30號
10342,臺北市信義區松隆路181~210號
10344,臺北市信義區吳興街583巷91~120號
10346,臺北市萬華區武成街125巷6弄1~30號
10350,臺北市文山區羅斯福路五段218巷18弄1~30號
10352,臺北市大安區復興南路二段193巷1~30號
10354,臺北市中山區長春路181~210號
10359,臺北市士林區天玉街75巷1~30號
10361,臺北市北投區杏林三路10巷1~30號
10364,臺北市士林區承德路四段241~270號
10367,臺北市大安區金華街243巷1~30號
10374,臺北市中山區堤頂大道二段241~270號
10375,臺北市內湖區成功路四段30巷31~60號
10376,臺北市內湖區康寧路三段70巷61~90號
10378,臺北市士林區天母西路31~60號
10380,臺北市北投區溫泉路65巷1~30號
10386,臺北市文山區景豐街31~60號
10389,臺北市萬華區內江街121~150號
10395,臺北市北投區溫泉路121~150號
10399,臺北市北投區大同街121~150號
10403,臺北市內湖區金湖路1~30號
10404,臺北市內湖區東湖路113巷70弄1~30號
10405,臺北市內湖區內湖路二段103巷31~60號
10407,臺北市中山區民族東路151~180號
10422,臺北市松山區南京東路五段31~60號
10423,臺北市萬華區環河南路一段61~90號
10427,臺北市大同區承德路二段31~60號
10429,臺北市中正區中華路一段1~30號
10430,臺北市大同區承德路二段31~60號
10432,臺北市內湖區內湖路一段91巷91~120號
10435,臺北市文山區政大二街211~240號
10436,臺北市文山區興旺里福興路106巷1~30號
10437,臺北市中正區羅斯福路三段84巷1~30號
10439,臺北市文山區辛亥路四段77巷1~30號
10444,臺北市萬華區長泰街308巷1~30號
10449,臺北市文山區萬利街1~30號
10453,臺北市中正區廈門街113巷1~30號
10459,臺北市萬華區東園街28巷31~60號
10460,臺北市萬華區雙園街91~120號
10462,臺北市大同區敦煌路80巷1~30號
10465,臺北市中山區林森北路121~150號
10466,臺北市內湖區陽光街271~300號
10469,臺北市內湖區星雲街61~90號
10471,臺北市內湖區成功路二段301~330號
10475,臺北市內湖區金龍路151~180號
10479,臺北市內湖區行善路271~300號
10480,臺北市內湖區五分街72巷1~30號
10482,臺北市北投區西安街一段301~330號
10484,臺北市士林區天母北路31~60號
10487,臺北市士林區中山北路六段236巷1~30號
10488,臺北市北投區中山路1~30號
10489,臺北市信義區松德路180巷1~30號
10493,臺北市南港區興華路61~90號
10494,臺北市中正區羅斯福路三段91~120號
10495,臺北市文山區羅斯福路五段181~210號
10497,臺北市北投區吉利街241~270號
10501,臺北市內湖區康寧路三段61~90號
10509,臺北市士林區福港街234巷1~30號
10513,臺北市內湖區金湖路14巷1~30號
10514,臺北市內湖區星雲街121~150號
10517,臺北市士林區華岡路1~30號
10522,臺北市文山區福興路78巷1弄1~30號
10523,臺北市文山區辛亥路四段77巷1~30號
10524,臺北市文山區景後街91~120號
10529,臺北市萬華區青年路30巷1~30號
10541,臺北市士林區中山北路七段31~60號
10544,臺北市北投區尊賢街243巷1~30號
10549,臺北市中山區林森北路241~270號
10553,臺北市中山區長春路1~30號
10554,臺北市中山區松江路421~450號
10555,臺北市中山區敬業一路128巷31~60號
10560,臺北市中山區松江路1~30號
10561,臺北市中山區錦州街31~60號
10566,臺北市大同區保安街1~30號
10569,臺北市萬華區桂林路91~120號
10571,臺北市中正區丹陽街1~30號
10575,臺北市萬華區雅江街1~30號
10576,臺北市大同區大龍街85巷1~30號
10577,臺北市大同區大龍街85巷1~30號
10578,臺北市大同區大龍街79巷1~30號
10581,臺北市文山區興隆路二段217巷1~30號
10583,臺北市文山區辛亥路六段100巷1~30號
10584,臺北市文山區萬美街二段61~90號
10585,臺北市文山區景福街3巷1~30號
10589,臺北市文山區興隆路二段121~150號
10590,臺北市文山區政大二街211~240號
10591,臺北市文山區辛亥路七段20巷1弄1~30號
10599,臺北市萬華區莒光路300巷6弄1~30號
10600,臺北市萬華區環河南路一段91~120號
10605,臺北市內湖區內湖路一段629巷101弄1~30號
10606,臺北市中山區遼寧街101巷1~30號
10612,臺北市北投區公?路161巷1~30號
10613,臺北市北投區公?路161巷31~60號
10614,臺北市士林區天母西路1~30號
10616,臺北市松山區新東街30巷31~60號
10619,臺北市松山區南京東路五段211~240號
10620,臺北市大同區民權西路91~120號
10626,臺北市文山區福興路63巷1~30號
10629,臺北市大安區和平東路三段1巷26弄1~30號
10635,臺北市內湖區內湖路一段285巷69弄1~30號
10640,臺北市信義區崇德街91~120號
10642,臺北市大安區信義路四段301~330號
10645,臺北市北投區大度路三段181~210號
10648,臺北市南港區松河街751~780號
10652,臺北市中山區林森北路301~330號
10657,臺北市大同區重慶北路一段1~30號
10658,臺北市文山區木柵路一段238巷15弄1~30號
10665,臺北市北投區稻香路181~210號
10666,臺北市士林區克強路10巷10弄1~30號
10667,臺北市士林區福港街277巷1~30號
10668,臺北市士林區中山北路六段754巷1~30號
10669,臺北市北投區行義路130巷1~30號
10670,臺北市北投區中和街493巷5弄1~30號
10671,臺北市中山區錦州街23巷1~30號
10673,臺北市中山區新生北路三段56巷1~30號
10677,臺北市內湖區南京東路六段451巷31~60號
10681,臺北市萬華區萬大路423巷31~60號
10688,臺北市文山區木柵路一段238巷15弄1~30號
10689,臺北市文山區木柵路一段238巷15弄1~30號
10690,臺北市文山區木柵路一段238巷15弄1~30號
10691,臺北市文山區木柵路一段238巷15弄1~30號
10692,臺北市文山區景興路177巷1弄1~30號
10700,臺北市大同區昆明街61~90號
10706,臺北市萬華區國興路1巷1~30號
10708,臺北市內湖區東湖路113巷95弄31~60號
10714,臺北市中山區新生北路二段60巷31~60號
10720,臺北市信義區信義路五段91~120號
10721,臺北市南港區忠孝東路六段398巷1~30號
10722,臺北市信義區林口街52巷31~60號
10733,臺北市文山區羅斯福路五段236巷3弄31~60號
10734,臺北市中正區延平南路179巷1~30號
10735,臺北市文山區興隆路三段207巷7弄1~30號
10736,臺北市文山區景文街61~90號
10738,臺北市大安區臨江街40巷31~60號
10739,臺北市大安區仁愛路四段122巷1~30號
10742,臺北市士林區社正路31~60號
10744,臺北市內湖區文德路220巷31~60號
10745,臺北市中山區松江路391~420號
10746,臺北市中山區林森北路61~90號
10748,臺北市信義區和平東路三段151~180號
10749,臺北市信義區嘉興街31~60號
10750,臺北市松山區民生東路五段181~210號
10752,臺北市士林區中正路661~690號
10754,臺北市北投區行義路186巷31~60號
10755,臺北市大安區信義路四段265巷31弄1~30號
10758,臺北市大安區和平東路一段199巷1~30號
10759,臺北市士林區延平北路五段285巷61~90號
10765,臺北市內湖區江南街117巷8弄1~30號
10774,臺北市文山區木新路三段61~90號
10775,臺北市文山區興順街151~180號
10776,臺北市中正區廈門街99巷1~30號
10777,臺北市文山區羅斯福路六段142巷20弄1~30號
10780,臺北市南港區東明街108巷1~30號
10785,臺北市信義區信義路五段150巷421~450號
10786,臺北市信義區信義路五段150巷401弄1~30號
10789,臺北市信義區吳興街600巷61~90號
10794,臺北市北投區公?路161巷1~30號
10795,臺北市北投區中和街398巷5弄1~30號
10797,臺北市內湖區麗山街348巷1~30號
10800,臺北市內湖區民權東路六段211~240號
10802,臺北市中山區新生北路二段91~120號
10803,臺北市中山區錦州街31~60號
10804,臺北市內湖區康寧路三段189巷21弄1~30號
10805,臺北市中山區新生北路三段84巷1~30號
10808,臺北市內湖區金龍路47巷13弄1~30號
10809,臺北市中山區天祥路86巷1~30號
10810,臺北市中山區天祥路86巷1~30號
10811,臺北市中山區明水路481~510號
10812,臺北市中山區明水路481~510號
10816,臺北市中山區民權東路二段135巷29弄1~30號
10817,臺北市萬華區康定路151~180號
10818,臺北市大同區延平北路一段66巷1~30號
10825,臺北市中正區濟南路二段1~30號
10829,臺北市中正區南昌路一段121~150號
10835,臺北市文山區景興路153巷1~30號
10845,臺北市大同區寧夏路1~30號
10849,臺北市大同區南京西路344巷31~60號
10852,臺北市萬華區昆明街31~60號
10853,臺北市內湖區新富街61~90號
10857,臺北市內湖區民權東路六段120巷31~60號
10863,臺北市中山區新生北路二段61~90號
10864,臺北市中山區林森北路661~690號
10865,臺北市中山區德惠街31~60號
10866,臺北市中山區吉林路271~300號
10870,臺北市士林區克強路10巷4弄1~30號
10884,臺北市松山區民生東路五段69巷1~30號
10886,臺北市信義區永吉路187巷1~30號
10887,臺北市南港區園區街1~30號
10889,臺北市松山區復興南路一段31~60號
10891,臺北市文山區辛亥路四段21巷1~30號
10892,臺北市大安區通化街140巷1~30號
10894,臺北市中正區衡陽路61~90號
10898,臺北市北投區承德路七段331~360號
10900,臺北市士林區福港街211~240號
10901,臺北市內湖區內湖路三段329巷1~30號
10903,臺北市中山區合江街144巷1~30號
10904,臺北市中山區民權東路一段31~60號
10906,臺北市中山區撫順街1~30號
10907,臺北市中山區撫順街1~30號
10910,臺北市南港區興華路64巷1~30號
10917,臺北市大安區仁愛路四段345巷15弄1~30號
10918,臺北市大安區安和路一段90巷1~30號
10919,臺北市北投區文化三路1~30號
10922,臺北市士林區社中街231巷1~30號
10926,臺北市內湖區安泰街129巷1~30號
10927,臺北市內湖區安泰街129巷1~30號
10928,臺北市中山區龍江路209巷1~30號
10930,臺北市士林區德行東路104巷1~30號
10931,臺北市北投區溫泉路37巷1~30號
10932,臺北市士林區德行東路91~120號
10933,臺北市北投區泉源路31~60號
10936,臺北市大安區羅斯福路二段81巷1~30號
10938,臺北市萬華區中華路二段416巷91~120號
10943,臺北市信義區松德路91~120號
10945,臺北市南港區研究院路三段18巷1~30號
10949,臺北市北投區吉利街257巷4弄1~30號
10951,臺北市內湖區星雲街16巷61~90號
10956,臺北市中山區天祥路60巷1~30號
10957,臺北市中山區吉林路218巷1~30號
10958,臺北市中山區吉林路218巷1~30號
10959,臺北市內湖區新豐街61~90號
10960,臺北市內湖區新富街31~60號
10961,臺北市內湖區新富街31~60號
10962,臺北市內湖區新富街31~60號
10963,臺北市中山區北安路621巷31~60號
10964,臺北市內湖區東湖路113巷91~120號
10965,臺北市萬華區內江街121~150號
10966,臺北市萬華區德昌街7巷1~30號
10971,臺北市文山區指南路三段91~120號
10973,臺北市文山區羅斯福路六段142巷20弄1~30號
10974,臺北市文山區興隆路二段241~270號
10975,臺北市中正區水源路61~90號
10976,臺北市文山區興隆路三段304巷31~60號
10982,臺北市內湖區東湖路113巷70弄1~30號
10983,臺北市中山區中原街1~30號
10989,臺北市內湖區內湖路二段253巷31~60號
10991,臺北市中山區中山北路二段65巷2弄31~60號
10999,臺北市信義區松信路50巷1~30號
11000,臺北市萬華區康定路61~90號
11001,臺北市大同區延平北路三段91~120號
11002,臺北市文山區木柵路四段9巷1~30號
11003,臺北市中正區廈門街113巷1~30號
11004,臺北市文山區指南路三段77巷1~30號
11011,臺北市北投區東華街一段361~390號
11012,臺北市士林區雨農路61~90號
11013,臺北市中山區吉林路119巷1~30號
11015,臺北市松山區八德路二段410巷16弄1~30號
11017,臺北市信義區中坡南路22巷1~30號
11018,臺北市士林區中山北路六段754巷1~30號
11022,臺北市松山區八德路三段106巷1~30號
11023,臺北市內湖區內湖路一段301~330號
11025,臺北市內湖區大湖山莊街202巷1~30號
11026,臺北市內湖區文德路210巷30弄1~30號
11027,臺北市中山區建國北路一段31~60號
11029,臺北市士林區中山北路六段151~180號
11034,臺北市北投區公館路271~300號
11035,臺北市士林區前港街58巷1弄1~30號
11040,臺北市萬華區艋舺大道31~60號
11043,臺北市信義區虎林街120巷151~180號
11048,臺北市信義區永吉路321巷1~30號
11051,臺北市松山區南京東路五段211~240號
11055,臺北市士林區士東路200巷58弄1~30號
11056,臺北市北投區溫泉路73巷1~30號
11059,臺北市中山區基湖路151巷31~60號
11061,臺北市中山區松江路391~420號
11062,臺北市中山區新生北路二段62巷31~60號
11065,臺北市內湖區康樂街72巷17弄61~90號
11066,臺北市中山區農安街1~30號
11068,臺北市中山區新生北路一段91~120號
11071,臺北市大同區民樂街151~180號
11072,臺北市萬華區西昌街121~150號
11078,臺北市大同區重慶北路二段57巷1~30號
11079,臺北市萬華區環河南路二段149巷1~30號
11080,臺北市萬華區萬大路85巷18弄1~30號
11082,臺北市文山區興隆路三段121~150號
11085,臺北市文山區三福街4巷1~30號
11088,臺北市文山區木柵路一段231巷1~30號
11089,臺北市中正區南昌路二段1~30號
11092,臺北市文山區興隆路四段1~30號
11095,臺北市文山區指南路一段31~60號
11096,臺北市中正區杭州南路一段14巷1~30號
11105,臺北市中山區中山北路二段61~90號
11107,臺北市內湖區內湖路二段331~360號
11109,臺北市內湖區康寧路一段47巷1~30號
11110,臺北市內湖區麗山街11巷1~30號
11112,臺北市中山區合江街55巷1~30號
11114,臺北市士林區福德路31巷1~30號
11125,臺北市萬華區環河南路二段121~150號
11126,臺北市文山區辛亥路四段101巷61~90號
11127,臺北市大安區忠孝東路四段181巷7弄1~30號
11131,臺北市北投區新興路78巷1~30號
11132,臺北市士林區葫蘆街30巷31~60號
11137,臺北市士林區幸福街5巷31~60號
11144,臺北市北投區立農街一段22巷1弄1~30號
11146,臺北市內湖區星雲街168巷1~30號
11147,臺北市中山區通北街121~150號
11148,臺北市中山區新生北路二段91~120號
11151,臺北市北投區中央北路四段181巷1~30號
11153,臺北市大安區忠孝東路四段211~240號
11154,臺北市士林區福志路91~120號
11155,臺北市北投區石牌路二段315巷34弄1~30號
11156,臺北市大安區樂業街79巷1~30號
11157,臺北市中山區民族東路421~450號
11160,臺北市內湖區港墘路27巷1~30號
11165,臺北市士林區中山北路六段405巷61~90號
11172,臺北市士林區中山北路七段114巷60弄1~30號
11175,臺北市士林區前港街1~30號
11176,臺北市北投區自強街5巷151~180號
11177,臺北市大安區和平東路二段90巷1~30號
11179,臺北市萬華區萬大路71巷1~30號
11180,臺北市中正區羅斯福路三段244巷2弄1~30號
11181,臺北市松山區復興北路481~510號
11182,臺北市信義區松智路31巷1~30號
11190,臺北市南港區向陽路162巷31~60號
11191,臺北市中山區農安街77巷1弄1~30號
11194,臺北市內湖區康寧路一段181~210號
11195,臺北市內湖區康樂街72巷17弄121~150號
11197,臺北市中山區中山北路三段31~60號
11198,臺北市中山區林森北路107巷1~30號
11199,臺北市中山區南京東路一段91~120號
11200,臺北市中山區南京東路一段91~120號
11203,臺北市大同區延平北路一段61~90號
11210,臺北市大同區南京西路331~360號
11212,臺北市萬華區成都路91~120號
11214,臺北市文山區興隆路二段203巷91~120號
11217,臺北市中正區南昌路一段91~120號
11218,臺北市文山區木柵路三段85巷8弄1~30號
11219,臺北市文山區景華街147巷1~30號
11224,臺北市文山區羅斯福路六段159巷1弄1~30號
11228,臺北市萬華區長順街123巷1~30號
11252,臺北市松山區八德路四段631~660號
11258,臺北市中正區南昌路一段54巷7弄1~30號
11259,臺北市中正區重慶南路一段121~150號
11260,臺北市文山區興隆路一段91~120號
11266,臺北市北投區大興街31~60號
11267,臺北市大安區敦化南路二段146巷1~30號
11271,臺北市松山區八德路三段151~180號
11272,臺北市內湖區康寧路三段189巷91~120號
11273,臺北市內湖區麗山街31~60號
11279,臺北市文山區景文街61~90號
11280,臺北市文山區木柵路四段33巷1~30號
11281,臺北市文山區興隆路三段181巷61~90號
11284,臺北市萬華區桂林路61~90號
11297,臺北市信義區忠孝東路五段524巷1弄1~30號
11302,臺北市松山區慶城街1~30號
11303,臺北市信義區和平東路三段151~180號
11305,臺北市南港區園區街58巷1~30號
11308,臺北市北投區珠海路91~120號
11309,臺北市北投區泉源路31~60號
11319,臺北市文山區景華街82巷7弄1~30號
11324,臺北市中山區撫順街41巷1~30號
11325,臺北市內湖區民權東路六段451~480號
11331,臺北市大安區浦城街6巷1~30號
11336,臺北市中山區建國北路二段64巷1~30號
11337,臺北市萬華區中華路一段181~210號
11338,臺北市大同區承德路三段211~240號
11339,臺北市萬華區環河南路一段61~90號
11343,臺北市大安區忠孝東路四段223巷20弄1~30號
11346,臺北市北投區中央北路二段361~390號
11352,臺北市信義區忠孝東路四段559巷16弄1~30號
11354,臺北市信義區吳興街284巷39弄1~30號
11357,臺北市信義區忠孝東路五段1~30號
11358,臺北市中山區新生北路三段1~30號
11360,臺北市內湖區成功路四段91~120號
11362,臺北市內湖區成功路三段187巷31~60號
11363,臺北市中山區新生北路三段82巷1~30號
11364,臺北市中山區錦州街31~60號
11367,臺北市中山區松江路1~30號
11377,臺北市文山區興隆路四段96巷4弄1~30號
11378,臺北市文山區興德路20巷1~30號
11381,臺北市文山區興隆路四段74巷1~30號
11384,臺北市大同區五原路1~30號
11385,臺北市文山區木柵路二段109巷121~150號
11389,臺北市大同區重慶北路三段205巷1~30號
11395,臺北市中山區中山北路二段77巷31~60號
11397,臺北市南港區園區街1~30號
11398,臺北市南港區園區街31~60號
11399,臺北市松山區民生東路五段151~180號
11400,臺北市南港區松河街481~510號
11401,臺北市信義區吳興街600巷53弄1~30號
11403,臺北市南港區東新街118巷61~90號
11404,臺北市南港區福德街301~330號
11406,臺北市士林區中山北路七段211~240號
11408,臺北市士林區忠誠路一段171巷12弄1~30號
11414,臺北市大同區保安街31~60號
11419,臺北市北投區致遠一路一段90巷1~30號
11420,臺北市北投區中和街31~60號
11423,臺北市大安區仁愛路四段211~240號
11425,臺北市大安區復興南路一段121~150號
11431,臺北市松山區民生東路五段151~180號
11434,臺北市內湖區行善路333巷1~30號
11435,臺北市中山區新生北路一段61~90號
11436,臺北市內湖區民權東路六段180巷151~180號
